paths	score	execution_time	gap
[[0, 158, 135, 80, 104, 151, 90, 176, 206, 204, 113, 89, 173, 51, 207, 5, 73, 108, 127, 16, 118, 76, 156, 21, 74, 170, 128, 0], [0, 27, 192, 191, 29, 180, 59, 64, 105, 23, 120, 126, 157, 37, 98, 184, 83, 146, 140, 9, 53, 19, 175, 0]]	824.0	1844.3853561878204	69.88304093567251
[[0, 191, 158, 80, 135, 59, 180, 64, 105, 23, 120, 117, 78, 214, 39, 9, 53, 87, 154, 19, 58, 0], [0, 107, 208, 96, 97, 201, 109, 122, 131, 204, 206, 65, 179, 108, 121, 127, 207, 51, 170, 5, 73, 16, 156, 76, 21, 31, 118, 128, 0]]	784.0	1825.3558564186096	71.34502923976608
[[0, 215, 97, 148, 109, 131, 204, 113, 138, 169, 126, 146, 157, 37, 98, 144, 184, 83, 94, 68, 140, 150, 110, 47, 58, 0], [0, 191, 27, 192, 29, 180, 59, 64, 23, 105, 67, 214, 123, 153, 9, 173, 175, 212, 116, 170, 5, 73, 118, 128, 0]]	761.0	1805.0423505306244	72.18567251461988
[[0, 27, 192, 164, 29, 81, 138, 113, 204, 206, 65, 102, 21, 156, 76, 118, 16, 108, 127, 87, 154, 19, 53, 54, 46, 128, 0], [0, 191, 158, 104, 80, 135, 180, 105, 120, 23, 64, 123, 173, 89, 51, 207, 73, 5, 170, 74, 116, 212, 175, 58, 0]]	775.0	1810.8975789546967	71.67397660818715
[[0, 215, 97, 201, 109, 148, 208, 49, 50, 96, 8, 195, 57, 102, 21, 156, 118, 16, 74, 116, 58, 0], [0, 43, 205, 135, 137, 171, 115, 80, 45, 63, 198, 126, 157, 146, 184, 37, 98, 210, 54, 154, 127, 108, 73, 5, 170, 19, 175, 0]]	800.0	1833.56240940094	70.76023391812866
