paths	score	execution_time	gap
[[0, 39, 62, 17, 5, 28, 139, 26, 129, 133, 91, 107, 35, 63, 16, 43, 22, 18, 123, 33, 25, 4, 0], [0, 64, 130, 122, 29, 82, 53, 7, 81, 23, 96, 90, 134, 2, 124, 44, 94, 48, 142, 77, 0]]	691.0	1816.4750347137451	61.353467561521256
[[0, 130, 64, 7, 82, 53, 138, 81, 29, 59, 93, 33, 128, 123, 18, 22, 43, 63, 25, 4, 0], [0, 118, 39, 17, 139, 87, 5, 104, 41, 35, 11, 71, 26, 91, 107, 109, 45, 3, 14, 73, 10, 112, 12, 0]]	687.0	1803.717643737793	61.57718120805369
[[0, 130, 122, 7, 86, 104, 65, 29, 82, 53, 59, 93, 33, 128, 123, 18, 22, 63, 43, 25, 4, 0], [0, 118, 39, 28, 5, 87, 17, 139, 26, 91, 35, 41, 81, 44, 144, 124, 94, 48, 142, 0]]	692.0	1810.1186656951904	61.297539149888145
[[0, 39, 28, 15, 5, 87, 17, 139, 52, 88, 80, 26, 107, 91, 14, 73, 45, 78, 12, 112, 10, 3, 0], [0, 118, 130, 64, 7, 29, 82, 59, 53, 90, 96, 16, 18, 22, 123, 128, 93, 33, 25, 4, 0]]	672.0	1817.1121175289154	62.41610738255034
[[0, 7, 64, 38, 23, 81, 53, 82, 29, 59, 33, 128, 123, 18, 22, 78, 4, 25, 0], [0, 118, 130, 28, 5, 87, 17, 139, 26, 133, 129, 91, 107, 35, 43, 63, 144, 94, 48, 142, 0]]	682.0	1805.5352945327759	61.85682326621924
