paths	score	execution_time	gap
[[0, 108, 263, 103, 138, 206, 64, 50, 65, 9, 260, 277, 100, 249, 205, 35, 86, 288, 126, 69, 161, 83, 51, 0]]	452.0	22.056640625	88.25974025974025
[[0, 180, 108, 103, 138, 65, 263, 94, 42, 34, 20, 232, 205, 249, 35, 86, 126, 244, 100, 179, 129, 17, 157, 118, 51, 161, 69, 0]]	479.0	32.14122748374939	87.55844155844156
[[0, 246, 206, 263, 108, 180, 219, 25, 181, 232, 20, 42, 205, 94, 35, 249, 126, 179, 100, 51, 86, 69, 161, 14, 54, 0]]	489.0	24.247740745544434	87.2987012987013
[[0, 219, 109, 185, 108, 263, 275, 20, 34, 42, 94, 249, 205, 119, 35, 86, 126, 161, 51, 69, 54, 0]]	411.0	16.4707088470459	89.32467532467533
[[0, 206, 246, 263, 108, 180, 219, 25, 275, 42, 20, 34, 181, 205, 94, 249, 35, 86, 51, 126, 129, 177, 279, 0]]	455.0	19.389690160751343	88.18181818181819
[[0, 206, 246, 263, 108, 180, 219, 25, 181, 275, 20, 42, 34, 232, 205, 94, 249, 35, 126, 86, 288, 69, 161, 26, 51, 0]]	482.0	22.81350588798523	87.48051948051948
[[0, 108, 206, 64, 138, 103, 65, 75, 9, 263, 160, 98, 42, 34, 232, 205, 249, 35, 86, 288, 62, 14, 54, 51, 161, 69, 0]]	486.0	29.02613091468811	87.37662337662337
[[0, 206, 246, 108, 263, 64, 50, 138, 65, 75, 9, 260, 160, 100, 35, 249, 205, 119, 86, 126, 69, 51, 161, 140, 0]]	474.0	21.349043130874634	87.6883116883117
[[0, 108, 206, 138, 64, 50, 65, 263, 277, 249, 205, 34, 42, 43, 94, 35, 86, 51, 126, 129, 161, 69, 0]]	433.0	17.134042263031006	88.75324675324676
[[0, 108, 263, 206, 246, 275, 42, 185, 115, 181, 232, 205, 94, 35, 249, 119, 244, 100, 126, 86, 69, 161, 51, 0]]	459.0	21.93395686149597	88.07792207792208
[[0, 206, 246, 263, 166, 180, 108, 94, 232, 205, 20, 42, 34, 141, 249, 35, 179, 100, 126, 86, 51, 69, 161, 0]]	446.0	19.524285793304443	88.41558441558442
[[0, 206, 246, 263, 108, 180, 181, 219, 25, 284, 114, 97, 267, 232, 42, 205, 249, 35, 86, 100, 179, 126, 51, 161, 29, 69, 0]]	517.0	26.849205493927002	86.57142857142858
[[0, 108, 206, 103, 138, 65, 75, 9, 263, 98, 94, 205, 232, 42, 249, 126, 35, 288, 51, 86, 49, 161, 69, 0]]	444.0	19.016866207122803	88.46753246753248
[[0, 206, 246, 108, 263, 65, 103, 138, 275, 42, 20, 232, 181, 97, 267, 205, 249, 86, 126, 35, 161, 288, 51, 49, 69, 152, 0]]	479.0	27.111600399017334	87.55844155844156
[[0, 108, 263, 246, 206, 268, 87, 20, 42, 275, 94, 249, 205, 232, 267, 97, 35, 86, 126, 288, 69, 51, 161, 54, 0]]	449.0	22.48116898536682	88.33766233766234
[[0, 108, 180, 263, 206, 138, 50, 94, 35, 205, 232, 249, 119, 49, 51, 126, 86, 69, 161, 0]]	391.0	14.079233884811401	89.84415584415585
[[0, 206, 246, 268, 263, 108, 219, 25, 181, 232, 34, 42, 20, 205, 249, 94, 35, 288, 86, 126, 51, 161, 69, 152, 0]]	460.0	21.302969932556152	88.05194805194805
[[0, 108, 263, 180, 219, 25, 181, 2, 42, 34, 94, 205, 249, 86, 35, 288, 51, 126, 161, 83, 14, 54, 0]]	448.0	17.915595769882202	88.36363636363636
[[0, 108, 263, 206, 246, 275, 42, 79, 185, 115, 158, 181, 34, 94, 249, 35, 205, 49, 126, 86, 51, 161, 14, 54, 0]]	473.0	19.932990550994873	87.71428571428571
[[0, 246, 206, 108, 138, 103, 65, 75, 9, 263, 160, 35, 249, 232, 205, 267, 97, 114, 226, 119, 126, 86, 69, 161, 51, 14, 54, 0]]	501.0	25.130573749542236	86.98701298701299
