instance_name	nodes_count	T_max	criteria_function	paths_count	solutions_count	enable_random_noise	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr01	48	1000.0	benefit_insertion_ratio	3	30	True	18.726534753932015	13.39421613394216	25.266362252663622	6.27905498345693	4.67518949508667	9.190398216247559
pr01	48	1000.0	benefit_insertion_ratio	4	30	True	8.016235413495687	2.5875190258751903	16.590563165905632	6.669893272717794	5.755623817443848	7.983055353164673
pr02	96	1000.0	benefit_insertion_ratio	1	30	True	73.15846994535518	70.57377049180327	76.72131147540983	4.3563458522160845	3.073179244995117	6.901034593582153
pr02	96	1000.0	benefit_insertion_ratio	2	30	True	51.286885245901644	46.147540983606554	55.40983606557377	13.779862650235494	9.970940113067627	17.77695059776306
pr02	96	1000.0	benefit_insertion_ratio	3	30	True	35.341530054644814	31.39344262295082	40.81967213114754	22.388826648394268	17.925975561141968	29.114700317382812
pr02	96	1000.0	benefit_insertion_ratio	4	30	True	24.437158469945356	20.327868852459016	31.065573770491806	31.009174545605976	24.81713318824768	41.98649477958679
pr03	144	1000.0	benefit_insertion_ratio	1	30	True	81.59395973154365	79.13870246085011	84.06040268456377	6.938487553596497	4.909892797470093	10.548462867736816
pr03	144	1000.0	benefit_insertion_ratio	2	30	True	66.3497390007457	62.695749440715886	70.46979865771812	20.0440686861674	14.920024871826172	27.93388056755066
pr03	144	1000.0	benefit_insertion_ratio	3	30	True	54.58799403430276	49.88814317673378	58.1096196868009	37.13598736127218	25.183650732040405	53.188279151916504
pr03	144	1000.0	benefit_insertion_ratio	4	30	True	43.560775540641316	39.821029082774054	48.99328859060403	56.652350036303204	43.5731725692749	78.25668454170227
pr04	192	1000.0	benefit_insertion_ratio	1	30	True	85.18368994751715	83.52846184901091	86.47557529269278	10.763963182767233	7.24280309677124	15.51058840751648
pr04	192	1000.0	benefit_insertion_ratio	2	30	True	71.74673664378952	68.42955187727088	75.25232135647961	34.496498839060465	28.115366458892822	40.732680320739746
pr04	192	1000.0	benefit_insertion_ratio	3	30	True	58.39052617413539	54.54178441663302	62.535324989907146	72.37983740170797	60.89211583137512	98.58715176582336
pr04	192	1000.0	benefit_insertion_ratio	4	30	True	48.51164042524559	46.22527250706499	51.39281388776746	107.76013318697612	85.38579368591309	145.6598036289215
pr05	240	1000.0	benefit_insertion_ratio	1	30	True	86.28369640903215	85.40734109221127	87.94389734407639	20.400521103541056	11.975957155227661	25.48757553100586
pr05	240	1000.0	benefit_insertion_ratio	2	30	True	74.3907291355814	71.85914652342585	76.12652939421068	64.37735105355581	46.8496298789978	93.97990536689758
pr05	240	1000.0	benefit_insertion_ratio	3	30	True	64.02267979707548	60.6684571769621	67.77081468218442	124.02186722755432	101.32772755622864	165.3541362285614
