paths	score	execution_time	gap
[[0, 64, 130, 104, 5, 87, 139, 123, 93, 27, 142, 0]]	220.0	0.7377274036407471	87.69574944071589
[[0, 64, 139, 5, 52, 26, 107, 91, 27, 4, 0]]	216.0	0.6160767078399658	87.91946308724832
[[0, 7, 17, 139, 5, 110, 81, 44, 27, 142, 0]]	194.0	0.5832650661468506	89.14988814317674
[[0, 7, 139, 5, 104, 52, 88, 27, 4, 25, 0]]	201.0	0.5851960182189941	88.75838926174497
[[0, 64, 139, 5, 81, 110, 107, 27, 142, 0]]	189.0	0.4825615882873535	89.42953020134227
[[0, 64, 139, 5, 52, 81, 107, 25, 4, 0]]	188.0	0.47458529472351074	89.48545861297539
[[0, 64, 7, 104, 5, 110, 81, 27, 4, 0]]	190.0	0.4824240207672119	89.37360178970917
[[0, 64, 7, 104, 5, 81, 117, 27, 48, 142, 0]]	206.0	0.593914270401001	88.47874720357942
[[0, 64, 130, 104, 5, 52, 129, 107, 81, 44, 27, 142, 0]]	238.0	0.9191634654998779	86.68903803131991
[[0, 7, 130, 104, 5, 139, 91, 93, 27, 142, 0]]	208.0	0.5972745418548584	88.36689038031321
[[0, 7, 49, 107, 129, 52, 27, 4, 0]]	150.0	0.36176180839538574	91.61073825503355
[[0, 64, 139, 87, 5, 52, 78, 27, 48, 142, 0]]	200.0	0.5885977745056152	88.81431767337807
[[0, 130, 118, 139, 17, 5, 81, 52, 45, 107, 27, 142, 0]]	225.0	0.9133334159851074	87.41610738255034
[[0, 7, 130, 104, 5, 81, 52, 45, 93, 4, 0]]	195.0	0.5985829830169678	89.09395973154362
[[0, 130, 49, 107, 81, 44, 27, 142, 0]]	163.0	0.35076212882995605	90.88366890380313
[[0, 76, 49, 104, 91, 26, 81, 27, 48, 142, 0]]	191.0	0.5698471069335938	89.31767337807607
[[0, 130, 7, 5, 139, 81, 2, 4, 142, 0]]	186.0	0.4782872200012207	89.59731543624162
[[0, 7, 139, 5, 29, 96, 81, 78, 27, 142, 0]]	197.0	0.6028404235839844	88.98210290827741
[[0, 7, 49, 107, 81, 27, 48, 142, 0]]	163.0	0.3540530204772949	90.88366890380313
[[0, 7, 122, 104, 5, 139, 81, 26, 27, 63, 4, 0]]	209.0	0.7425229549407959	88.31096196868009
[[0, 130, 64, 104, 5, 110, 78, 27, 48, 142, 0]]	209.0	0.6026875972747803	88.31096196868009
[[0, 7, 139, 5, 52, 81, 44, 27, 142, 0]]	184.0	0.4675607681274414	89.70917225950782
[[0, 130, 118, 139, 5, 104, 52, 78, 45, 27, 142, 0]]	214.0	0.735015869140625	88.03131991051454
[[0, 7, 139, 5, 104, 110, 107, 27, 142, 0]]	188.0	0.4702742099761963	89.48545861297539
[[0, 64, 130, 104, 5, 139, 81, 107, 27, 4, 0]]	219.0	0.6109392642974854	87.75167785234899
[[0, 7, 139, 5, 52, 26, 107, 27, 4, 0]]	194.0	0.4765625	89.14988814317674
[[0, 7, 139, 5, 52, 81, 44, 27, 142, 0]]	184.0	0.4620547294616699	89.70917225950782
[[0, 76, 49, 53, 81, 52, 27, 4, 25, 0]]	162.0	0.4714953899383545	90.93959731543623
[[0, 64, 139, 5, 104, 117, 27, 4, 25, 0]]	186.0	0.46619248390197754	89.59731543624162
[[0, 7, 49, 107, 81, 27, 48, 142, 0]]	163.0	0.35353779792785645	90.88366890380313
