paths	score	execution_time	gap
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 33, 88, 78, 87, 25, 54, 81, 0]]	310.0	1.8997209072113037	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.913259744644165	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9082822799682617	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9248647689819336	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9155027866363525	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9171316623687744	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9110050201416016	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.896249532699585	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9092049598693848	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9141547679901123	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.916560411453247	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.8998308181762695	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9249095916748047	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9107909202575684	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9381189346313477	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.91060471534729	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.898366928100586	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9213263988494873	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9261367321014404	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 33, 88, 78, 87, 25, 54, 81, 0]]	310.0	1.8964052200317383	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.922703742980957	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9206204414367676	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 33, 88, 78, 87, 25, 54, 81, 0]]	310.0	1.8992455005645752	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9160387516021729	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9101321697235107	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9084300994873047	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9202980995178223	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9254579544067383	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.916381597518921	74.59016393442623
[[0, 22, 72, 60, 95, 65, 32, 85, 42, 9, 47, 1, 88, 78, 33, 87, 25, 54, 81, 0]]	310.0	1.9178905487060547	74.59016393442623
