instance_name	nodes_count	T_max	criteria_function	paths_count	solutions_count	enable_random_noise	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr01	48	1000.0	benefit_insertion_ratio	1	30	True	60.89802130898021	53.12024353120244	67.88432267884322	2.405641714731852	1.3269495964050293	5.03090238571167
pr01	48	1000.0	benefit_insertion_ratio	2	30	True	37.59005580923388	32.57229832572298	44.29223744292237	4.827161924044291	3.217862367630005	7.640129089355469
pr01	48	1000.0	benefit_insertion_ratio	3	30	True	19.06139015728057	13.54642313546423	28.15829528158295	6.807421072324117	5.223162412643433	9.479920864105225
pr01	48	1000.0	benefit_insertion_ratio	4	30	True	8.52359208523592	4.10958904109589	12.480974124809741	7.0283480008443195	6.057969331741333	9.42128324508667
pr02	96	1000.0	benefit_insertion_ratio	1	30	True	72.7103825136612	68.52459016393443	76.39344262295083	5.109338076909383	3.4936635494232178	9.000678777694702
pr02	96	1000.0	benefit_insertion_ratio	2	30	True	51.314207650273225	46.22950819672131	56.80327868852459	15.137714838981628	8.682419538497925	23.028462409973145
pr02	96	1000.0	benefit_insertion_ratio	3	30	True	35.12295081967213	31.967213114754102	39.42622950819672	24.650269969304404	19.887799501419067	31.698386907577515
pr02	96	1000.0	benefit_insertion_ratio	4	30	True	23.303278688524586	19.262295081967213	29.016393442622952	33.051659512519834	25.1256844997406	39.79465341567993
pr03	144	1000.0	benefit_insertion_ratio	1	30	True	81.29753914988814	79.25055928411633	84.67561521252797	7.193679229418437	4.6028242111206055	10.708152770996094
pr03	144	1000.0	benefit_insertion_ratio	2	30	True	66.9351230425056	63.982102908277405	71.30872483221476	20.303088227907818	12.334295988082886	28.181227922439575
pr03	144	1000.0	benefit_insertion_ratio	3	30	True	53.596196868008946	48.93736017897092	58.38926174496645	38.16556918621063	28.93214750289917	47.9919159412384
pr03	144	1000.0	benefit_insertion_ratio	4	30	True	43.41909023117078	40.100671140939596	46.588366890380314	57.508275389671326	44.803898096084595	76.42663025856018
pr04	192	1000.0	benefit_insertion_ratio	1	30	True	84.60368725608936	83.04400484457004	87.08114654824385	11.300393199920654	7.195667743682861	18.633764028549194
pr04	192	1000.0	benefit_insertion_ratio	2	30	True	71.10752254070782	67.21840936616876	75.25232135647961	37.32406302293142	26.135424852371216	50.71628499031067
pr04	192	1000.0	benefit_insertion_ratio	3	30	True	58.449737585789244	53.77472749293501	62.25272507064999	71.58753279050191	50.74899506568909	88.57773804664612
pr04	192	1000.0	benefit_insertion_ratio	4	30	True	47.735163504239	41.017359709325795	51.4331853048042	109.44801317850748	84.48350405693054	160.99214267730713
pr05	240	1000.0	benefit_insertion_ratio	1	30	True	86.16731323982891	84.24350940017905	87.64547896150403	21.36147061189016	12.112723350524902	31.816949129104614
pr05	240	1000.0	benefit_insertion_ratio	2	30	True	74.11419476773104	72.36645777379887	77.49925395404357	66.31464889844258	47.58184242248535	90.36679935455322
pr05	240	1000.0	benefit_insertion_ratio	3	30	True	63.78096090719188	60.60877350044763	65.89077887197851	124.70056796073914	109.36194944381714	153.29935383796692
pr05	240	1000.0	benefit_insertion_ratio	4	30	True	54.75678901820353	52.133691435392414	56.87854371829305	182.8743989944458	158.17271041870117	219.26061272621155
pr06	288	1000.0	benefit_insertion_ratio	1	30	True	88.2774902388087	86.67937891582676	89.1037864342141	20.042671100298563	13.19615364074707	30.10798144340515
pr06	288	1000.0	benefit_insertion_ratio	2	30	True	77.24234995005904	74.63906292563334	79.05202941977663	72.59501725832621	50.87182950973511	96.61376857757568
pr06	288	1000.0	benefit_insertion_ratio	3	30	True	67.84799782075729	64.69626804685372	69.92645055843094	144.19079608917235	117.26782369613647	187.85694360733032
pr06	288	1000.0	benefit_insertion_ratio	4	30	True	58.882230091709815	55.380005448106786	61.86325251974939	223.06845449606578	165.83551859855652	270.73891949653625
pr07	72	1000.0	benefit_insertion_ratio	1	30	True	73.09774964838256	70.25316455696202	76.89873417721519	2.60746332804362	1.6558079719543457	3.632580518722534
pr07	72	1000.0	benefit_insertion_ratio	2	30	True	48.66385372714486	42.19409282700422	55.907172995780584	7.668550896644592	5.485610485076904	10.802472352981567
pr07	72	1000.0	benefit_insertion_ratio	3	30	True	31.241209563994378	24.68354430379747	38.18565400843882	12.599919152259826	8.303923606872559	18.33340311050415
pr07	72	1000.0	benefit_insertion_ratio	4	30	True	19.61322081575246	15.717299578059071	25.21097046413502	16.103200427691142	11.536030054092407	19.74874782562256
pr08	144	1000.0	benefit_insertion_ratio	1	30	True	80.98537720172814	78.91326021934198	83.39980059820539	8.778563237190246	6.218113899230957	14.793078422546387
pr08	144	1000.0	benefit_insertion_ratio	2	30	True	66.23795280824194	63.160518444666	69.04287138584247	24.404821554819744	16.725990772247314	36.28812646865845
pr08	144	1000.0	benefit_insertion_ratio	3	30	True	53.740445330674646	50.099700897308075	57.27816550348953	42.081690986951195	30.558685541152954	59.20533466339111
pr08	144	1000.0	benefit_insertion_ratio	4	30	True	42.29312063808574	39.0827517447657	45.363908275174474	63.41927293141683	50.38642358779907	83.35136818885803
pr09	216	1000.0	benefit_insertion_ratio	1	30	True	87.53654970760233	85.81871345029239	89.29093567251462	12.13326514561971	7.28091287612915	17.862396955490112
pr09	216	1000.0	benefit_insertion_ratio	2	30	True	75.93689083820664	72.80701754385966	78.76461988304094	39.51074378490448	28.294788360595703	55.711403369903564
pr09	216	1000.0	benefit_insertion_ratio	3	30	True	64.06676413255362	60.92836257309941	69.44444444444444	85.3769717613856	59.32429528236389	108.63455080986023
