instance_name	nodes_count	T_max	criteria_function	paths_count	solutions_count	enable_random_noise	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr01	48	1000.0	simple_revenue	1	30	True	65.70268899036022	59.05631659056316	69.25418569254185	0.6207233667373657	0.482100248336792	0.8900556564331055
pr01	48	1000.0	savings_profit_method	1	30	True	73.50583460172501	66.81887366818874	78.99543378995433	0.1924396276473999	0.11369991302490234	0.2795383930206299
pr01	48	1000.0	simple_revenue	2	30	True	40.70015220700153	34.55098934550989	50.076103500761036	1.3067244132359823	1.0143649578094482	1.5141615867614746
pr01	48	1000.0	savings_profit_method	2	30	True	56.76306443429731	49.77168949771689	59.96955859969558	0.42933196226755777	0.31116294860839844	0.5715243816375732
pr01	48	1000.0	simple_revenue	3	30	True	26.341958396752922	19.93911719939117	32.42009132420091	1.6207308371861775	1.4148972034454346	1.8961522579193115
pr01	48	1000.0	savings_profit_method	3	30	True	39.797057331303904	35.61643835616438	45.96651445966514	0.7738439242045084	0.6224055290222168	0.9020638465881348
pr01	48	1000.0	simple_revenue	4	30	True	11.217656012176558	6.54490106544901	16.13394216133942	1.9072457551956177	1.7513186931610107	2.1661112308502197
pr01	48	1000.0	savings_profit_method	4	30	True	27.184170471841703	22.37442922374429	34.24657534246575	1.0428690830866496	0.9041030406951904	1.2324492931365967
pr02	96	1000.0	simple_revenue	1	30	True	74.59016393442623	74.59016393442623	74.59016393442623	1.9136542002360026	1.896249532699585	1.9381189346313477
pr02	96	1000.0	savings_profit_method	1	30	True	82.69672131147541	79.67213114754098	87.62295081967213	0.49316004912058514	0.2360246181488037	0.750683069229126
pr02	96	1000.0	simple_revenue	2	30	True	56.232240437158474	53.93442622950819	57.786885245901644	5.198373770713806	4.402378797531128	5.702335834503174
pr02	96	1000.0	savings_profit_method	2	30	True	67.48633879781421	62.13114754098361	74.59016393442623	1.6657248417536417	0.914675235748291	2.442417860031128
pr02	96	1000.0	simple_revenue	3	30	True	39.32786885245902	34.75409836065574	45.0	8.835811909039816	7.583086252212524	10.06574535369873
pr02	96	1000.0	savings_profit_method	3	30	True	56.34972677595629	50.90163934426229	60.40983606557377	2.820966664950053	2.056917905807495	3.478947162628174
pr02	96	1000.0	simple_revenue	4	30	True	25.644808743169396	21.475409836065573	35.57377049180328	12.257970499992371	10.715741395950317	13.443545579910278
pr02	96	1000.0	savings_profit_method	4	30	True	46.00546448087432	42.295081967213115	49.26229508196721	4.23404815196991	3.3741419315338135	5.225069046020508
pr03	144	1000.0	simple_revenue	1	30	True	83.7565249813572	82.77404921700223	84.78747203579418	2.973676816622416	2.5268759727478027	3.3021740913391113
pr03	144	1000.0	savings_profit_method	1	30	True	89.12751677852349	86.68903803131991	91.61073825503355	0.5583032608032227	0.35076212882995605	0.9191634654998779
pr03	144	1000.0	simple_revenue	2	30	True	68.7192393736018	67.56152125279642	69.79865771812081	10.022963786125183	8.919812679290771	10.945095777511597
pr03	144	1000.0	savings_profit_method	2	30	True	79.97576435495898	76.90156599552573	83.165548098434	1.9735944191614787	1.3841593265533447	2.847611665725708
pr03	144	1000.0	simple_revenue	3	30	True	56.601416853094705	52.85234899328859	61.241610738255034	17.054081384340922	15.264508962631226	19.02485227584839
pr03	144	1000.0	savings_profit_method	3	30	True	71.51006711409396	67.61744966442953	75.78299776286353	3.706862187385559	3.0251710414886475	4.5837953090667725
pr03	144	1000.0	simple_revenue	4	30	True	45.57606263982104	43.40044742729307	47.76286353467562	25.55200193723043	23.253846883773804	29.909681797027588
pr03	144	1000.0	savings_profit_method	4	30	True	62.718120805369125	59.22818791946308	65.6599552572707	6.173019727071126	4.8389058113098145	7.850474834442139
pr04	192	1000.0	simple_revenue	1	30	True	86.09742968644869	85.50666128381106	86.43520387565603	4.729093925158183	4.536072731018066	5.786820411682129
pr04	192	1000.0	savings_profit_method	1	30	True	91.56506526712423	89.94751715785225	93.37908760597497	0.8970720211664835	0.5093691349029541	1.2546439170837402
pr04	192	1000.0	simple_revenue	2	30	True	74.24169021665993	72.91077916834881	75.85789261203068	17.17009306748708	15.561266899108887	18.7082359790802
pr04	192	1000.0	savings_profit_method	2	30	True	84.22015879424035	81.8328623334679	86.96003229713362	2.8549395243326825	1.908839464187622	3.9236273765563965
pr04	192	1000.0	simple_revenue	3	30	True	61.42780244919929	59.26524020993137	63.948324586192975	33.356707350413004	28.20090365409851	36.58411693572998
pr04	192	1000.0	savings_profit_method	3	30	True	77.52119499394426	74.84860718611223	79.85466289866774	5.4973513841629025	3.8297555446624756	7.7627012729644775
pr04	192	1000.0	simple_revenue	4	30	True	50.93123401964741	47.88050060557126	54.057327412192166	53.14753307501475	46.40831398963928	62.131288051605225
pr04	192	1000.0	savings_profit_method	4	30	True	70.70919122594536	67.21840936616876	72.91077916834881	9.077232845624287	7.229413747787476	11.713980913162231
pr05	240	1000.0	simple_revenue	1	30	True	88.50094499154483	87.70516263801849	88.66010146225007	9.496188863118489	9.45359992980957	9.573240995407104
pr05	240	1000.0	savings_profit_method	1	30	True	93.89435989256938	90.62966278722769	95.73261712921516	1.3387980461120605	0.6122024059295654	3.260528564453125
pr05	240	1000.0	simple_revenue	2	30	True	77.03770018899831	76.33542226201135	78.24529991047449	35.885654306411745	33.76179575920105	39.545119762420654
pr05	240	1000.0	savings_profit_method	2	30	True	87.04167910076595	84.72097881229483	89.0778871978514	5.358533509572347	3.6357386112213135	7.896236896514893
