paths	score	execution_time	gap
[[0, 60, 79, 23, 15, 57, 58, 41, 52, 61, 35, 26, 46, 91, 21, 11, 54, 59, 81, 25, 87, 0], [0, 94, 22, 32, 72, 17, 62, 55, 93, 38, 92, 44, 9, 69, 37, 19, 70, 77, 0], [0, 6, 80, 24, 18, 14, 67, 42, 85, 95, 29, 65, 47, 88, 10, 2, 78, 33, 16, 20, 0]]	860.0	2155.1833865642548	29.508196721311474
[[0, 73, 60, 72, 32, 58, 41, 61, 31, 35, 52, 26, 21, 91, 46, 82, 11, 54, 70, 77, 0], [0, 94, 62, 17, 64, 92, 38, 93, 55, 44, 37, 9, 69, 16, 19, 81, 25, 87, 0], [0, 6, 80, 24, 18, 67, 22, 42, 85, 57, 29, 95, 65, 47, 10, 51, 2, 78, 1, 88, 33, 0]]	865.0	2141.799406528473	29.098360655737704
[[0, 73, 62, 17, 41, 84, 86, 55, 64, 92, 93, 44, 16, 9, 19, 74, 20, 0], [0, 6, 80, 24, 67, 32, 72, 57, 58, 29, 95, 65, 47, 1, 88, 78, 33, 69, 25, 77, 0], [0, 60, 22, 71, 15, 30, 23, 28, 35, 31, 61, 52, 26, 91, 46, 21, 11, 54, 70, 81, 87, 0]]	842.0	2194.0174112319946	30.983606557377048
[[0, 6, 80, 24, 14, 18, 67, 85, 15, 35, 31, 45, 44, 19, 81, 70, 54, 87, 0], [0, 60, 73, 62, 17, 92, 38, 55, 64, 65, 47, 88, 10, 51, 2, 78, 33, 77, 0], [0, 22, 32, 72, 95, 57, 29, 58, 41, 61, 52, 26, 91, 21, 11, 25, 9, 69, 16, 20, 0]]	862.0	2221.6541204452515	29.34426229508197
[[0, 73, 62, 72, 32, 17, 64, 55, 93, 38, 92, 44, 16, 20, 74, 19, 54, 0], [0, 6, 80, 24, 18, 14, 67, 85, 15, 65, 29, 95, 9, 69, 81, 25, 78, 88, 33, 87, 0], [0, 60, 22, 57, 28, 79, 58, 41, 61, 45, 35, 91, 21, 26, 52, 31, 82, 4, 70, 77, 0]]	854.0	2183.5194840431213	30.0
